workstream,workstream_sort,project,project_sort,project_status,date,is_milestone,milestone_text
Workstream 1,3,Project 1,1,On Plan,01/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,02/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,03/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,04/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,05/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,06/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,07/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,08/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,09/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,10/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,11/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,12/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,13/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,14/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,15/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,16/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,17/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,18/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,19/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,20/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,21/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,22/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,23/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,24/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,25/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,26/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,27/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,28/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,29/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,30/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,31/10/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,01/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,02/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,03/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,04/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,05/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,06/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,07/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,08/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,09/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,10/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,11/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,12/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,13/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,14/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,15/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,16/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,17/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,18/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,19/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,20/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,21/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,22/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,23/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,24/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,25/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,26/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,27/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,28/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,29/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,30/11/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,01/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,02/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,03/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,04/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,05/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,06/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,07/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,08/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,09/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,10/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,11/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,12/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,13/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,14/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,15/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,16/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,17/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,18/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,19/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,20/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,21/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,22/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,23/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,24/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,25/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,26/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,27/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,28/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,29/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,30/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,31/12/2024,FALSE,
Workstream 1,3,Project 1,1,On Plan,01/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,02/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,03/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,04/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,05/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,06/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,07/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,08/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,09/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,10/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,11/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,12/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,13/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,14/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,15/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,16/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,17/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,18/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,19/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,20/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,21/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,22/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,23/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,24/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,25/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,26/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,27/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,28/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,29/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,30/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,31/01/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,01/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,02/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,03/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,04/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,05/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,06/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,07/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,08/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,09/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,10/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,11/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,12/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,13/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,14/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,15/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,16/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,17/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,18/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,19/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,20/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,21/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,22/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,23/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,24/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,25/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,26/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,27/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,28/02/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,01/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,02/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,03/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,04/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,05/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,06/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,07/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,08/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,09/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,10/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,11/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,12/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,13/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,14/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,15/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,16/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,17/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,18/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,19/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,20/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,21/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,22/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,23/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,24/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,25/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,26/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,27/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,28/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,29/03/2025,FALSE,
Workstream 1,3,Project 1,1,On Plan,30/03/2025,FALSE,
